IPL season,Match Id,Team 1,Team 2,Winning Team,Innings1 runs,Innings1 wickets,Innings1 overs,Innings2 runs,Innings2 wickets,Innings2 overs,Venue,Date
3,10660,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,132,9,20,133,2,16.1,"Eden Gardens, Kolkata",2010-04-17
3,10661,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,192,3,20,195,4,19.4,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2010-04-18
3,10662,Deccan Chargers,Delhi Capitals,Deccan Chargers,145,7,20,134,7,20,"Arun Jaitley Stadium, Delhi",2010-04-18
3,10663,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,133,8,20,135,1,17.3,"Eden Gardens, Kolkata",2010-04-19
3,10664,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,184,5,20,149,9,20,"Dr DY Patil Sports Academy, Mumbai",2010-04-21
3,10665,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,142,7,20,104,10,19.2,"Dr DY Patil Sports Academy, Mumbai",2010-04-22
3,10666,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,82,10,18.3,86,1,13.5,"Dr DY Patil Sports Academy, Mumbai",2010-04-24
3,10667,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,168,5,20,146,9,20,"Dr DY Patil Sports Academy, Mumbai",2010-04-25
3,10668,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,203,3,20,204,2,18.5,"M.Chinnaswamy Stadium, Bengaluru",2010-03-16
3,10669,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,164,3,20,109,10,19.2,"Eden Gardens, Kolkata",2010-03-16
3,10670,Mumbai Indians,Delhi Capitals,Mumbai Indians,218,7,20,120,10,16.3,"Arun Jaitley Stadium, Delhi",2010-03-17
3,10671,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,92,10,19.5,93,0,10.4,"M.Chinnaswamy Stadium, Bengaluru",2010-03-18
3,10672,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,135,7,20,136,3,19.2,"Eden Gardens, Kolkata",2010-03-14
3,10673,Deccan Chargers,Chennai Super Kings,Deccan Chargers,190,4,20,159,9,20,"MA Chidambaram Stadium, Chennai",2010-03-14
3,10674,Rajasthan Royals,Delhi Capitals,Delhi Daredevils,141,6,20,142,4,17.1,"Sardar Patel Stadium, Ahmedabad",2010-03-15
3,10675,Kings XI Punjab,Delhi Capitals,Delhi Daredevils,142,9,20,146,5,19.5,"Punjab Cricket Association IS Bindra Stadium, Mohali",2010-03-13
3,10676,Mumbai Indians,Rajasthan Royals,Mumbai Indians,212,6,20,208,7,20,"Brabourne Stadium, Mumbai",2010-03-13
3,10677,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,161,4,20,150,7,20,"Dr DY Patil Sports Academy, Mumbai",2010-03-12
